nm,sc,mc,lc,rh,mel,v
360,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000003917000
361,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000004393580
362,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000004929600
363,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000005532140
364,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000006208250
365,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000006965000
366,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000007813220
367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000008767340
368,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000009839840
369,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000011043200
370,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000012390000
371,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000013886400
372,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000015557300
373,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000017443000
374,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000019583800
375,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000022020000
376,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000024839700
377,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000028041300
378,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000031531000
379,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000035215200
380,0.000000000,0.000000000,0.000000000,0.000589000,0.000918165,0.000039000000
381,0.000000000,0.000000000,0.000000000,0.000665000,0.001045570,0.000042826400
382,0.000000000,0.000000000,0.000000000,0.000752000,0.001178580,0.000046914600
383,0.000000000,0.000000000,0.000000000,0.000854000,0.001322790,0.000051589600
384,0.000000000,0.000000000,0.000000000,0.000972000,0.001483810,0.000057176400
385,0.000000000,0.000000000,0.000000000,0.001108000,0.001667240,0.000064000000
386,0.000000000,0.000000000,0.000000000,0.001268000,0.001881020,0.000072344200
387,0.000000000,0.000000000,0.000000000,0.001453000,0.002129890,0.000082212200
388,0.000000000,0.000000000,0.000000000,0.001668000,0.002414570,0.000093508200
389,0.000000000,0.000000000,0.000000000,0.001918000,0.002735830,0.000106136000
390,0.006142650,0.000358227,0.000407619,0.002209000,0.003094420,0.000120000000
391,0.007442800,0.000438660,0.000497068,0.002547000,0.003507060,0.000134984000
392,0.009016610,0.000536230,0.000604713,0.002939000,0.003990780,0.000151492000
393,0.010917000,0.000654061,0.000733640,0.003394000,0.004546790,0.000170208000
394,0.013205300,0.000795649,0.000887247,0.003921000,0.005176250,0.000191816000
395,0.015951500,0.000964828,0.001069210,0.004530000,0.005880350,0.000217000000
396,0.019234700,0.001165720,0.001283400,0.005240000,0.006693340,0.000246907000
